committee_name,support_oppose_indicator,candidate_name,candidate_party,expenditure_amount,expenditure_description,expenditure_date,report_year
LCV VICTORY FUND,S,"CORTEZ MASTO, CATHERINE",DEM,2860.0,DIGITAL AD PRODUCTION,2016-10-31 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,76544.41,WALK CARDS (REPORTED WITH ESTIMATE OF $65000 ON 48-HOUR REPORT FILED 9/11/16),2016-09-22 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,86260.74,DIGITAL  AD BUY,2016-10-14 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,3614.0,TV AD PRODUCTION (REPORTED AS ESTIMATE OF $1500 TO WATERFRONT STRATEGIES ON 24-HOUR REPORT 10/29/16),2016-11-01 00:00:00,2016
LCV VICTORY FUND,O,"BURR, RICHARD SEN.",REP,6155.5,TV AD PRODUCTION,2016-11-08 00:00:00,2016
LCV VICTORY FUND,S,"CORTEZ MASTO, CATHERINE",DEM,643876.0,TV  AD BUY,2016-10-06 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,86260.74,DIGITAL AD BUY,2016-10-14 00:00:00,2016
LCV VICTORY FUND,S,"FEINGOLD, RUSS D. SEN.",DEM,100000.0,PHONE BANK,2016-11-10 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,36.32,STAFF TIME FOR PRESS RELEASE,2016-03-02 00:00:00,2016
LCV VICTORY FUND,S,"FEINGOLD, RUSS D. SEN.",DEM,24999.8,PHONE BANKING,2016-11-10 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,72.64,STAFF TIME FOR PRESS RELEASE,2016-09-07 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,72.64,STAFF TIME FOR PRESS RELEASE,2016-10-11 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,984377.35,TV AD BUY,2016-10-27 00:00:00,2016
LCV VICTORY FUND,O,"BURR, RICHARD SEN.",REP,11821.09,TV AD PRODUCTION (REPORTED AS MEMO ITEM ON 10/19/2016),2016-10-31 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,14591.5,"FOLLOW UP SURVEY (ESTIMATED AS $14,000 ON 9/26/16)",2016-10-21 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,293055.07,"MAILER AND POSTAGE (REPORTED AS ESTIMATE OF 301,884.72 ON 24-HOUR REPORT 10/25/2016)",2016-11-03 00:00:00,2016
LCV VICTORY FUND,O,"BURR, RICHARD SEN.",REP,531960.0,TV AD BUY,2016-10-24 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,281.69,STAFF TIME & EMAIL FOR ONLINE MESSAGE,2016-05-31 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,260.96,STAFF TIME AND EMAIL FOR ONLINE MESSAGE,2016-06-21 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,6392.52,"PLEDGE CARDS (REPORTED WITH ESTIMATE OF $15,000 ON 48-HOUR REPORT FILED 9/11/16)",2016-09-22 00:00:00,2016
LCV VICTORY FUND,O,"POLIQUIN, BRUCE L",REP,31188.04,MAILER AND POSTAGE,2016-11-03 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,8723.32,TV AD PRODUCTION,2016-11-30 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",,3615.14,TV AD PRODUCTION,2016-10-18 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,801.11,STAFF TIME AND EMAIL FOR ONLINE MESSAGE,2016-06-21 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,11000.0,CAMPAIGN CONSULTING,2016-09-28 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,6023.0,STICKERS (REPORTED WITH ESTIMATE OF $6000 ON 48-HOUR REPORT FILED 9/11/16),2016-09-22 00:00:00,2016
